school_id,school_short_name,school_name,street_address,city,state,zip,website,managed_by_network,geographic_network,school_track,overall_rating,on_probation,years_on_probation,growth_overall_level,student_performance_level,over_time_explore_2010,over_time_plan_2011,over_time_act_2012,average_score_explore_2012,average_score_plan_2012,average_score_act_2012,_5_year_cohort_graduation_rate_2011_percent,_5_year_cohort_graduation_rate_2012_percent,one_year_dropout_rate_2011_percent,one_year_dropout_rate_2012_percent,freshman_on_track_to_graduate_2011_percent,freshman_on_track_to_graduate_2012_percent,college_eligibility_2011_percent,college_eligibility_2012_percent,college_enrollment_2011_percent,college_enrollment_2012_percent,college_retention_2009_percent,college_retention_2010_percent,overall_foundation,involved_families,supportive_environment,ambitious_instruction,effective_leaders,collaborative_teachers,safety,misconducts_resulting_in_suspensions_2011_percent,misconducts_resulting_in_suspensions_2012_percent,average_days_of_suspension_2011,average_days_of_suspension_2012,student_attendance_2011_percent,student_attendance_2012_percent,teacher_attendance_2011_percent,teacher_attendance_2012_percent,healthy_school_certified,x_coordinate,y_coordinate,longitude,latitude,location,growth_explore,growth_plan,growth_act,growth_all_grades,blue_ribbon_award,blue_ribbon_award_year
609751,King HS,Dr  Martin Luther King  Jr  College Prep HS,4445 S Drexel Blvd,Chicago,IL,60653,http://www.kingcollegeprep.org,South Side High School Network,South Side High School Network,Standard,Level 1,No,0,Below Average,Average,17.47,18.12,20.9,17.56,18.86,20.9,75.40,85.40,2.30,2,91.10,87.50,31.90,40.20,85.10,81.10,85.10,80.10,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,Not Enough Data,40.70,17.40,3.4,3.6,92.90,92.60,96.30,95.90,No,1183114.175,1875544.787,-87.60383761,41.81369471,"{'latitude': '-87.60383761', 'longitude': '41.81369471'}",50.00,52.90,,51.50,,
609708,Foreman HS,Edwin G Foreman High School,3235 N LeClaire Ave,Chicago,IL,60641,http://www.foremanhs.org,North-Northwest Side High School Network,North-Northwest Side High School Network,Standard,Level 2,Yes,5,Average,Far Below Average,13,13.71,15.4,13.19,14.07,15.4,59.70,58.50,6.80,3.10,75.60,68.70,12.50,14.60,40.90,40.80,67.20,63,Not Yet Organized,Weak,Weak,Weak,Neutral,Weak,Weak,36.90,35.20,2.7,3.7,84.30,82.10,94.80,95.20,No,1141833.359,1921189.138,-87.7541302,41.93981043,"{'latitude': '-87.7541302', 'longitude': '41.93981043'}",46.90,64.30,54.30,55.00,,
609676,Dunbar HS,Paul Laurence Dunbar Career Academy High School,3000 S King Dr,Chicago,IL,60616,http://www.dunbarhs.org,South Side High School Network,South Side High School Network,Standard,Level 3,Yes,12,Average,Far Below Average,12.86,13.78,14.8,12.54,13.76,14.8,61.70,72,2.90,2.70,65.70,70.20,6.90,7.80,51.50,67.70,61.50,61.30,Partially Organized,Neutral,Weak,Weak,Neutral,Neutral,Weak,50.60,46.90,3.7,4,76.90,80.10,96,95.60,No,1179262.097,1885167.032,-87.61767315,41.84018775,"{'latitude': '-87.61767315', 'longitude': '41.84018775'}",44.10,59.00,58.60,53.40,,
610392,World Language HS,World Language Academy High School,3120 S Kostner Ave,Chicago,IL,60623,http://wl.lvlhs.org,West Side High School Network,West Side High School Network,Track E,Level 3,Yes,1,Above Average,Below Average,12.85,14.28,16.4,13.49,14.27,16.4,69.40,62.80,3.80,1.90,76,58.50,14.60,15.20,48.10,53.80,70.30,83.90,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Neutral,43.50,61.40,3.5,5.5,91.60,93.40,96,95.20,No,1147521.302,1883405.128,-87.73419465,41.83601953,"{'latitude': '-87.73419465', 'longitude': '41.83601953'}",64.20,59.30,,61.30,,
609740,Wells HS,Wells Community Academy High School,936 N Ashland Ave,Chicago,IL,60622,http://www.wellshighschoolchicago.org,West Side High School Network,West Side High School Network,Standard,Level 2,No,0,Average,Far Below Average,13.24,13.56,15.1,12.72,13.71,15.1,59.30,54.10,14.60,11.90,61.30,69,7.20,6.90,43.80,36.70,55.90,60,Organized,Neutral,Neutral,Neutral,Strong,Neutral,Neutral,94.20,72.80,2.1,2.5,74.10,81.30,96.20,96.30,Pending,1165512.916,1906490.72,-87.66751989,41.89900506,"{'latitude': '-87.66751989', 'longitude': '41.89900506'}",54.80,62.00,53.10,56.60,,
609702,Crane HS,Richard T Crane Technical Preparatory HS,2245 W Jackson Blvd,Chicago,IL,60612,http://www.crane.groupfusion.net,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,11,Below Average,Far Below Average,12.09,13.63,13.8,12.59,13.59,13.8,48,39.70,30.70,24,40.90,58.10,3.70,7.90,32.60,48.10,44.40,41.90,Organized,Strong,Neutral,Neutral,Neutral,Neutral,Neutral,29.40,45,4.6,4.4,57.90,68.80,93.90,93.70,No,1161290.138,1898611.918,-87.68324922,41.87747384,"{'latitude': '-87.68324922', 'longitude': '41.87747384'}",47.50,50.00,,48.80,,
610334,Raby HS,Al Raby High School,3545 W Fulton Blvd,Chicago,IL,60624,http://www.alraby.org,West Side High School Network,West Side High School Network,Track E,Level 3,Yes,5,Below Average,Far Below Average,12.77,14.31,15.4,12.89,14.1,15.4,72.20,70.20,4.60,6.70,74.30,79.90,13.50,17.90,64.20,68.80,72,67.90,Moderately Organized,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,77.10,65.80,3.5,4,80.30,82.10,95.10,94.90,No,1152512.295,1901720.85,-87.71539705,41.886183,"{'latitude': '-87.71539705', 'longitude': '41.886183'}",43.80,49.30,54.90,49.40,,
610244,Clark HS,Michele Clark Academic Prep Magnet High School,5101 W Harrison St,Chicago,IL,60644,http://www.micheleclark.org,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,4,Average,Below Average,14.03,14.46,16.4,13.67,14.66,16.4,87.40,76.60,3.70,4,78.20,78.70,13,11.10,60.40,75.80,62.40,64.20,Partially Organized,Weak,Neutral,Neutral,Neutral,Neutral,Neutral,69.80,82.70,3.8,4.3,79.10,89.60,95.40,95.80,No,1142209.317,1896792.791,-87.75335467,41.87285714,"{'latitude': '-87.75335467', 'longitude': '41.87285714'}",49.10,53.90,61.80,55.30,,
610535,Mason HS,Mason High School,4217 W 18th St,Chicago,IL,60623,http://www.masonmavericks.org,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,1,Below Average,Far Below Average,12.52,13.88,13.6,14,15.57,13.6,,,2.60,4.30,40.90,92.30,,15.40,,,,,Well-organized,Strong,Strong,Strong,Neutral,Neutral,Strong,50,50,2.9,3.2,90.40,87.20,,,No,1148477.255,1891003.441,-87.73049117,41.85685194,"{'latitude': '-87.73049117', 'longitude': '41.85685194'}",50.00,43.80,,46.40,,
610501,Austin Poly HS,Austin Polytechnical Academy High School,231 N Pine Ave,Chicago,IL,60644,http://austinpolytech.org,West Side High School Network,West Side High School Network,Standard,Level 3,Yes,3,Average,Far Below Average,12.21,13.39,14.6,11.82,13.69,14.6,,65.30,1.10,18.50,56.10,52.20,8.50,8.80,,57.70,,,Partially Organized,Weak,Neutral,Neutral,Neutral,Weak,Weak,57.40,48.30,2.9,2.5,70.10,68.50,95.20,94.70,No,1139494.763,1901274.258,-87.76321191,41.88520477,"{'latitude': '-87.76321191', 'longitude': '41.88520477'}",52.40,51.70,59.30,54.50,,
