the_geom,school_id,school_nm,sch_addr,grade_cat,grades,sch_type,x,y,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
"{'type': 'Point', 'coordinates': [-87.68895394193721, 41.79101283900692]}",609709,GAGE PARK HS,"5630 S ROCKWELL ST, 60629",HS,"9, 10, 11, 12",Traditional,-87.68895394,41.79101284,58,61,21867,112,3
"{'type': 'Point', 'coordinates': [-87.69207693006294, 41.82390000056353]}",610317,BRIGHTON PARK,"3825 S WASHTENAW AVE, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.69207693,41.8239,56,55,22248,638,1
"{'type': 'Point', 'coordinates': [-87.7962351140657, 41.976351664092824]}",609937,GARVY,"5225 N OAK PARK AVE, 60656",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.79623511,41.97635166,31,36,4448,699,29
"{'type': 'Point', 'coordinates': [-87.71731895268591, 41.84369811838291]}",609834,LITTLE VILLAGE,"2620 S LAWNDALE AVE, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.71731895,41.84369812,57,32,21569,227,28
"{'type': 'Point', 'coordinates': [-87.72182466519862, 41.96640566801436]}",400017,ASPIRA - HAUGAN,"3729 W LELAND AVE, 60625",ES,"6, 7, 8",Traditional,-87.72182467,41.96640567,20,14,21849,119,12
"{'type': 'Point', 'coordinates': [-87.79935927031796, 41.77389881609313]}",609893,DORE,"7134 W 65TH ST, 60638",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.79935927,41.77389882,7,62,22268,336,6
"{'type': 'Point', 'coordinates': [-87.60101811277596, 41.77347789827784]}",610213,WADSWORTH,"6650 S ELLIS AVE, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.60101811,41.7734779,60,9,22260,347,33
"{'type': 'Point', 'coordinates': [-87.66585003699532, 41.983455792333416]}",610122,PEIRCE,"1423 W BRYN MAWR AVE, 60660",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.66585004,41.98345579,15,76,4451,540,16
"{'type': 'Point', 'coordinates': [-87.73921294544137, 41.97328939323465]}",610111,PALMER,"5051 N KENNETH AVE, 60630",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.73921295,41.97328939,48,14,21869,751,38
"{'type': 'Point', 'coordinates': [-87.6856070030602, 41.80165862497382]}",609855,CHRISTOPHER,"5042 S ARTESIAN AVE, 60632",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.685607,41.80165862,56,61,22248,763,8
"{'type': 'Point', 'coordinates': [-87.74253889944019, 41.8804471881147]}",400123,YCCS - SCHOLASTIC ACHIEVEMENT,"4651 W MADISON ST, 60644",HS,"9, 10, 11, 12",Options,-87.7425389,41.88044719,32,26,22216,69,23
"{'type': 'Point', 'coordinates': [-87.68794642783531, 41.902840757241584]}",610594,PATHWAYS - HUMBOLDT PARK HS,"2421 W DIVISION ST, 60622",HS,"9, 10, 11, 12",Options,-87.68794643,41.90284076,4,25,21560,542,49
"{'type': 'Point', 'coordinates': [-87.70870780076552, 41.98131528296457]}",609749,NORTHSIDE PREP HS,"5501 N KEDZIE AVE, 60625",HS,"9, 10, 11, 12",Traditional,-87.7087078,41.98131528,20,13,21849,167,24
"{'type': 'Point', 'coordinates': [-87.67611092979361, 41.865817413642716]}",400057,NOBLE - UIC HS,"1231 S DAMEN AVE, 60608",HS,"9, 10, 11, 12",Traditional,-87.67611093,41.86581741,43,29,14920,96,23
"{'type': 'Point', 'coordinates': [-87.55278794438398, 41.73171691657434]}",610171,MIRELES,"9000 S EXCHANGE AVE, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.55278794,41.73171692,25,42,21202,175,47
"{'type': 'Point', 'coordinates': [-87.73352395107561, 41.8708283793363]}",610194,SUMNER,"4320 W 5TH AVE, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.73352395,41.87082838,30,27,21572,703,14
"{'type': 'Point', 'coordinates': [-87.7312605962779, 41.900139656200025]}",610106,PICCOLO,"1040 N KEELER AVE, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.7312606,41.90013966,5,24,4299,99,45
"{'type': 'Point', 'coordinates': [-87.73529946931342, 41.83350727520927]}",610383,SOCIAL JUSTICE HS,"3120 S KOSTNER AVE, 60623",HS,"9, 10, 11, 12",Traditional,-87.73529947,41.83350728,57,32,21569,200,28
"{'type': 'Point', 'coordinates': [-87.71801374322334, 41.78052638742257]}",609741,HUBBARD HS,"6200 S HAMLIN AVE, 60629",HS,"9, 10, 11, 12",Traditional,-87.71801374,41.78052639,58,63,21867,339,6
"{'type': 'Point', 'coordinates': [-87.69026083875758, 41.7940480513741]}",610249,TALMAN,"5450 S TALMAN AVE, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.69026084,41.79404805,56,61,22248,778,8
"{'type': 'Point', 'coordinates': [-87.70960968204182, 41.74235056706726]}",610287,ASHBURN,"8300 S ST LOUIS AVE, 60652",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70960968,41.74235057,8,69,4300,199,30
"{'type': 'Point', 'coordinates': [-87.70263467429588, 41.94000928033209]}",610039,VON LINNE,"3221 N SACRAMENTO AVE, 60618",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70263467,41.94000928,39,22,21538,425,20
"{'type': 'Point', 'coordinates': [-87.65798012768784, 41.85602872329815]}",609872,PEREZ,"1241 W 19TH ST, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65798013,41.85602872,43,33,14920,365,26
"{'type': 'Point', 'coordinates': [-87.72637962821183, 41.78959705388647]}",610589,SOR JUANA,"4120 W 57TH ST, 60629",ES,"PK, K, 1, 2, 3",Traditional,-87.72637963,41.78959705,58,60,21867,773,15
"{'type': 'Point', 'coordinates': [-87.69629419836058, 41.930966096627905]}",609809,BRENTANO,"2723 N FAIRFIELD AVE, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.6962942,41.9309661,1,23,22535,468,40
"{'type': 'Point', 'coordinates': [-87.68479278593361, 41.995359051781186]}",610191,STONE,"6239 N LEAVITT ST, 60659",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.68479279,41.99535905,50,20,4450,53,27
"{'type': 'Point', 'coordinates': [-87.70272393872025, 41.887319909489726]}",400165,LEARN - MIDDLE,"3021 W CARROLL AVE, 60612",ES,"6, 7, 8",Traditional,-87.70272394,41.88731991,28,28,21184,50,46
"{'type': 'Point', 'coordinates': [-87.70591720533336, 42.00295899498816]}",610542,WEST RIDGE,"6700 N WHIPPLE ST, 60645",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70591721,42.00295899,12,20,22528,32,27
"{'type': 'Point', 'coordinates': [-87.72554564271765, 41.84008042725135]}",610227,WHITNEY,"2815 S KOMENSKY AVE, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.72554564,41.84008043,57,32,21569,248,28
"{'type': 'Point', 'coordinates': [-87.67218159329359, 41.80977029709564]}",609993,LARA,"4619 S WOLCOTT AVE, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.67218159,41.8097703,37,59,14924,706,3
"{'type': 'Point', 'coordinates': [-87.76104831560826, 41.92005939981952]}",609679,PROSSER HS,"2148 N LONG AVE, 60639",HS,"9, 10, 11, 12",Traditional,-87.76104832,41.9200594,2,19,22615,307,44
"{'type': 'Point', 'coordinates': [-87.70052941983776, 41.9846407767438]}",610011,JAMIESON,"5650 N MOZART ST, 60659",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.70052942,41.98464078,50,20,4450,65,24
"{'type': 'Point', 'coordinates': [-87.62804036316228, 41.7471859182612]}",610298,LENART,"8101 S LASALLE ST, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.62804036,41.74718592,59,40,21554,1,13
