the_geom,school_id,school_nm,sch_addr,grade_cat,grades,sch_type,x,y,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
"{'type': 'Point', 'coordinates': [-87.62334458925658, 41.76249026426023]}",609883,DENEEN,"7240 S WABASH AVE, 60619",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.62334459,41.76249026,61,67,21546,474,32
"{'type': 'Point', 'coordinates': [-87.70805006976927, 41.87844408594294]}",609723,MARSHALL HS,"3250 W ADAMS ST, 60624",HS,"9, 10, 11, 12",Traditional,-87.70805007,41.87844409,30,28,21572,765,23
"{'type': 'Point', 'coordinates': [-87.6041637454416, 41.76525228180626]}",400052,NOBLE - COMER,"7131 SOUTH CHICAGO AVE, 60619",HS,"6, 7, 8, 9, 10, 11, 12",Traditional,-87.60416375,41.76525228,61,67,21546,121,33
"{'type': 'Point', 'coordinates': [-87.66794916954754, 41.85950400831126]}",400081,ACERO - DE LAS CASAS,"1641 W 16TH ST, 60608",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.66794917,41.85950401,43,33,14920,343,26
"{'type': 'Point', 'coordinates': [-87.78963033156607, 41.97012488316471]}",610083,BEARD,"6445 W STRONG ST, 60656",ES,"PK, K, 1, 2, 3",Specialty,-87.78963033,41.97012488,31,36,4448,700,50
"{'type': 'Point', 'coordinates': [-87.65807422405456, 41.70513101208922]}",609788,BARNARD,"10354 S CHARLES ST, 60643",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65807422,41.70513101,13,71,22212,630,42
"{'type': 'Point', 'coordinates': [-87.6562286674388, 41.93412629831849]}",609773,AGASSIZ,"2851 N SEMINARY AVE, 60657",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65622867,41.9341263,22,57,4449,680,25
"{'type': 'Point', 'coordinates': [-87.64977248487465, 41.880550112638346]}",400036,CHICAGO VIRTUAL,"38 S PEORIA ST, 60607",HS,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Traditional,-87.64977248,41.88055011,44,29,14917,91,26
"{'type': 'Point', 'coordinates': [-87.64546949689043, 41.75467006288247]}",610102,OGLESBY,"7646 S GREEN ST, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.6454695,41.75467006,59,70,21554,572,31
"{'type': 'Point', 'coordinates': [-87.8111697848495, 42.00440792197583]}",609899,EBINGER,"7350 W PRATT AVE, 60631",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.81116978,42.00440792,17,77,22243,654,29
"{'type': 'Point', 'coordinates': [-87.64449730394381, 41.92452481637058]}",610038,LINCOLN,"615 W KEMPER PL, 60614",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.6444973,41.92452482,16,68,21190,798,34
"{'type': 'Point', 'coordinates': [-87.6775418500361, 41.82777491358405]}",610504,THOMAS,"3625 S HOYNE AVE, 60609",ES,PK,Early Childhood,-87.67754185,41.82777491,37,56,14924,719,1
"{'type': 'Point', 'coordinates': [-87.66781651174641, 41.82935561951145]}",610319,EVERGREEN,"3537 S PAULINA ST, 60609",ES,"6, 7, 8",Traditional,-87.66781651,41.82935562,37,56,14924,721,1
"{'type': 'Point', 'coordinates': [-87.55330671028283, 41.66248099895515]}",609944,GRISSOM,"12810 S ESCANABA AVE, 60633",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.55330671,41.662481,26,52,22250,586,47
"{'type': 'Point', 'coordinates': [-87.79866892055928, 41.94911438709332]}",609810,BRIDGE,"3800 N NEW ENGLAND AVE, 60634",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.79866892,41.94911439,52,17,22254,444,19
"{'type': 'Point', 'coordinates': [-87.72312803497195, 41.96402870922748]}",609972,HAUGAN,"4540 N HAMLIN AVE, 60625",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.72312803,41.96402871,20,14,21849,119,12
"{'type': 'Point', 'coordinates': [-87.55620144123627, 41.734622371987186]}",400157,NOBLE - BAKER HS,"2710 E 89TH ST, 60617",HS,"9, 10, 11, 12",Traditional,-87.55620144,41.73462237,25,42,21202,508,37
"{'type': 'Point', 'coordinates': [-87.6945622514897, 41.9179926536557]}",609853,CHASE,"2021 N POINT ST, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.69456225,41.91799265,1,23,22535,294,41
"{'type': 'Point', 'coordinates': [-87.54461359768163, 41.65455814916716]}",609856,CLAY,"13231 S BURLEY AVE, 60633",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.5446136,41.65455815,26,52,22250,787,47
"{'type': 'Point', 'coordinates': [-87.76532197832123, 41.882322221698644]}",400021,CATALYST - CIRCLE ROCK,"5608 W WASHINGTON BLVD, 60644",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.76532198,41.88232222,32,26,22216,618,7
"{'type': 'Point', 'coordinates': [-87.61178404264494, 41.8180034037352]}",609928,FULLER,"4214 S ST LAWRENCE AVE, 60653",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.61178404,41.8180034,36,4,4301,583,10
"{'type': 'Point', 'coordinates': [-87.73523755587813, 41.91167369288698]}",609691,NORTH-GRAND HS,"4338 W WABANSIA AVE, 60639",HS,"9, 10, 11, 12",Traditional,-87.73523756,41.91167369,2,24,22615,285,44
"{'type': 'Point', 'coordinates': [-87.62062343626343, 41.718372346369115]}",609710,HARLAN HS,"9652 S MICHIGAN AVE, 60628",HS,"9, 10, 11, 12",Traditional,-87.62062344,41.71837235,19,45,21861,567,43
"{'type': 'Point', 'coordinates': [-87.71899385436605, 41.862081296999904]}",609991,HERZL,"3711 W DOUGLAS BLVD, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.71899385,41.8620813,57,30,21569,33,14
"{'type': 'Point', 'coordinates': [-87.70506426006519, 41.840956911547714]}",610215,MADERO,"3202 W 28TH ST, 60623",ES,"6, 7, 8",Traditional,-87.70506426,41.84095691,57,32,21569,146,28
"{'type': 'Point', 'coordinates': [-87.62855344657892, 41.844043312899615]}",609894,DRAKE,"2710 S DEARBORN ST, 60616",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.62855345,41.84404331,40,1,21194,377,9
"{'type': 'Point', 'coordinates': [-87.67723250602558, 41.72526344019599]}",610016,KELLOGG,"9241 S LEAVITT ST, 60643",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.67723251,41.72526344,59,71,22212,627,42
"{'type': 'Point', 'coordinates': [-87.68440568153046, 42.01647588249321]}",400121,ACERO - DE LA CRUZ,"7416 N RIDGE BLVD, 60645",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",Traditional,-87.68440568,42.01647588,12,20,22528,341,5
"{'type': 'Point', 'coordinates': [-87.64745284244796, 41.78494238058916]}",609793,NICHOLSON,"6006 S PEORIA ST, 60621",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.64745284,41.78494238,11,66,21559,22,2
"{'type': 'Point', 'coordinates': [-87.68361565115093, 41.871595492396374]}",610121,IRVING,"749 S OAKLEY BLVD, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.68361565,41.87159549,28,29,21184,5,23
"{'type': 'Point', 'coordinates': [-87.65022144565329, 41.79976620613382]}",610172,SHERMAN,"1000 W 52ND ST, 60609",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.65022145,41.79976621,37,59,14924,791,4
"{'type': 'Point', 'coordinates': [-87.69694138617125, 41.91250548390755]}",610076,MOOS,"1711 N CALIFORNIA AVE, 60647",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.69694139,41.91250548,1,25,22535,299,41
"{'type': 'Point', 'coordinates': [-87.64641313678548, 41.92984985280907]}",609774,ALCOTT ES,"2625 N ORCHARD ST, 60614",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.64641314,41.92984985,16,68,21190,794,34
"{'type': 'Point', 'coordinates': [-87.63363243382837, 41.90141653446823]}",610250,SALAZAR,"160 W WENDELL ST, 60610",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.63363243,41.90141653,54,37,14926,310,46
"{'type': 'Point', 'coordinates': [-87.578491669534, 41.746286570668154]}",400139,YCCS - SULLIVAN,"8164 S SOUTH CHICAGO AVE, 60617",HS,"9, 10, 11, 12",Options,-87.57849167,41.74628657,25,41,21202,431,35
"{'type': 'Point', 'coordinates': [-87.76607165818346, 41.97979005572082]}",609912,FARNSWORTH,"5414 N LINDER AVE, 60630",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.76607166,41.97979006,48,11,21869,128,50
"{'type': 'Point', 'coordinates': [-87.64456122230817, 41.94163655488563]}",610094,NETTELHORST,"3252 N BROADWAY ST, 60657",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.64456122,41.94163655,22,57,4449,730,25
"{'type': 'Point', 'coordinates': [-87.69178650207837, 41.76814276463553]}",610067,MCKAY,"6901 S FAIRFIELD AVE, 60629",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.6917865,41.76814276,58,64,21867,383,31
"{'type': 'Point', 'coordinates': [-87.68977977274332, 41.806491411656786]}",610559,SHIELDS MIDDLE,"2611 W 48TH ST, 60632",ES,"5, 6, 7, 8",Traditional,-87.68977977,41.80649141,56,55,22248,85,8
"{'type': 'Point', 'coordinates': [-87.63884270034045, 41.73537939015944]}",610153,RYDER,"8716 S WALLACE ST, 60620",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.6388427,41.73537939,59,70,21554,608,13
"{'type': 'Point', 'coordinates': [-87.60466040817994, 41.70755761761426]}",609978,SMITH,"744 E 103RD ST, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.60466041,41.70755762,19,47,21861,643,35
"{'type': 'Point', 'coordinates': [-87.72995529239981, 41.73884394135668]}",610352,DURKIN PARK,"8445 S KOLIN AVE, 60652",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.72995529,41.73884394,8,69,4300,197,30
"{'type': 'Point', 'coordinates': [-87.66542623590557, 41.89180608207177]}",610107,OTIS,"525 N ARMOUR ST, 60642",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.66542624,41.89180608,49,25,22620,485,41
"{'type': 'Point', 'coordinates': [-87.73529221730043, 41.83439661722411]}",610392,WORLD LANGUAGE HS,"3120 S KOSTNER AVE, 60623",HS,"9, 10, 11, 12",Traditional,-87.73529222,41.83439662,57,32,21569,200,28
"{'type': 'Point', 'coordinates': [-87.76766845555308, 41.890368629815434]}",610245,DOUGLASS HS,"543 N WALLER AVE, 60644",HS,"9, 10, 11, 12",Traditional,-87.76766846,41.89036863,32,26,22216,672,7
"{'type': 'Point', 'coordinates': [-87.72661479995716, 41.89380503757069]}",400180,KIPP - ONE,"730 N PULASKI RD, 60651",ES,"K, 1, 2, 3, 5, 6, 7, 8",Traditional,-87.7266148,41.89380504,30,24,21572,99,45
"{'type': 'Point', 'coordinates': [-87.76898261875857, 41.943018896019964]}",610145,REINBERG,"3425 N MAJOR AVE, 60634",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.76898262,41.9430189,52,15,22254,342,44
"{'type': 'Point', 'coordinates': [-87.72109744629037, 41.74937561012821]}",609698,BOGAN HS,"3939 W 79TH ST, 60652",HS,"9, 10, 11, 12",Traditional,-87.72109745,41.74937561,8,69,4300,199,30
"{'type': 'Point', 'coordinates': [-87.5987862683841, 41.81118286731761]}",400076,U OF C - NKO,"1119 E 46TH ST, 60653",ES,"PK, K, 1, 2, 3, 4, 5",Traditional,-87.59878627,41.81118287,36,5,4301,395,10
"{'type': 'Point', 'coordinates': [-87.66897963899922, 41.7483824083674]}",400032,CICS - ELLISON HS,"1817 W 80TH ST, 60620",HS,"9, 10, 11, 12",Traditional,-87.66897964,41.74838241,59,70,21554,574,31
"{'type': 'Point', 'coordinates': [-87.72238621543497, 41.982972522050105]}",609744,NORTHSIDE LEARNING HS,"3730 W BRYN MAWR AVE, 60659",HS,"9, 10, 11, 12",Specialty,-87.72238622,41.98297252,50,13,22532,747,38
"{'type': 'Point', 'coordinates': [-87.73401972966428, 41.958938494463226]}",609798,BELDING,"4257 N TRIPP AVE, 60641",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.73401973,41.95893849,21,16,22618,269,38
"{'type': 'Point', 'coordinates': [-87.54557989281062, 41.73333313362878]}",400107,LEARN - SOUTH CHICAGO,"8914 S BUFFALO AVE, 60617",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.54557989,41.73333313,25,42,21202,175,47
"{'type': 'Point', 'coordinates': [-87.67819525963058, 41.878808808759736]}",400097,NOBLE - BULLS HS,"2040 W ADAMS ST, 60612",HS,"9, 10, 11, 12",Traditional,-87.67819526,41.87880881,28,29,21184,89,46
"{'type': 'Point', 'coordinates': [-87.66433930957471, 41.85267013653239]}",609764,JUAREZ HS,"1450 W CERMAK RD, 60608",HS,"9, 10, 11, 12",Traditional,-87.66433931,41.85267014,43,33,14920,270,26
"{'type': 'Point', 'coordinates': [-87.72585617789454, 41.80554153990519]}",609903,EDWARDS,"4815 S KARLOV AVE, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.72585618,41.80554154,56,54,22248,697,8
"{'type': 'Point', 'coordinates': [-87.61833765366826, 41.836526953934296]}",610126,PERSHING,"3200 S CALUMET AVE, 60616",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.61833765,41.83652695,40,1,21194,190,10
"{'type': 'Point', 'coordinates': [-87.66555862133835, 41.72081703449544]}",610207,VANDERPOEL,"9510 S PROSPECT AVE, 60643",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.66555862,41.72081703,13,71,22212,628,42
"{'type': 'Point', 'coordinates': [-87.63756486350435, 41.91389953306064]}",610033,LASALLE,"1734 N ORLEANS ST, 60614",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.63756486,41.91389953,16,68,21190,271,34
"{'type': 'Point', 'coordinates': [-87.66652988324923, 41.7712211120216]}",610521,DAVIS M,"6740 S PAULINA ST, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.66652988,41.77122111,23,65,22257,283,2
"{'type': 'Point', 'coordinates': [-87.64488797547317, 41.857207856770344]}",400134,YCCS - ADDAMS,"1814 S UNION AVE, 60616",HS,"9, 10, 11, 12",Options,-87.64488798,41.85720786,40,33,21194,249,48
"{'type': 'Point', 'coordinates': [-87.63996733090829, 41.7935562680151]}",400163,KIPP - BLOOM,"5515 S LOWE AVE, 60621",ES,"K, 1, 5, 6, 7, 8",Traditional,-87.63996733,41.79355627,11,66,21559,166,4
"{'type': 'Point', 'coordinates': [-87.6856765978757, 41.68819083818884]}",609871,VICK,"2554 W 113TH ST, 60655",ES,PK,Early Childhood,-87.6856766,41.68819084,33,74,4447,379,42
"{'type': 'Point', 'coordinates': [-87.7179266351955, 41.903792117934884]}",609835,CAMERON,"1234 N MONTICELLO AVE, 60651",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.71792664,41.90379212,5,24,4299,454,49
"{'type': 'Point', 'coordinates': [-87.68566784265751, 41.849214905970044]}",609967,FINKL,"2332 S WESTERN AVE, 60608",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.68566784,41.84921491,43,33,14920,204,26
"{'type': 'Point', 'coordinates': [-87.63997360421982, 41.69649616370621]}",610188,DUNNE,"10845 S UNION AVE, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.6399736,41.69649616,19,45,21861,525,22
"{'type': 'Point', 'coordinates': [-87.67188730719725, 41.79059128727187]}",609986,HENDERSON,"5650 S WOLCOTT AVE, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.67188731,41.79059129,23,65,22257,345,3
"{'type': 'Point', 'coordinates': [-87.62767532290782, 41.87306592363812]}",609678,JONES HS,"700 S STATE ST, 60605",HS,"9, 10, 11, 12",Traditional,-87.62767532,41.87306592,35,38,14913,12,10
"{'type': 'Point', 'coordinates': [-87.81419465453429, 42.01689164143098]}",610163,STOCK,"7507 W BIRCHWOOD AVE, 60631",ES,PK,Early Childhood,-87.81419465,42.01689164,17,77,22243,653,29
"{'type': 'Point', 'coordinates': [-87.67580971870046, 41.93924749728659]}",610010,JAHN,"3149 N WOLCOTT AVE, 60657",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.67580972,41.9392475,22,46,4449,649,40
"{'type': 'Point', 'coordinates': [-87.70685988381369, 41.90157240748985]}",400126,YCCS - ASSOCIATION HOUSE,"1116 N KEDZIE AVE, 60651",HS,"9, 10, 11, 12",Options,-87.70685988,41.90157241,5,24,4299,150,49
"{'type': 'Point', 'coordinates': [-87.71719032015153, 41.83879052013039]}",609950,ORTIZ DE DOMINGUEZ,"3000 S LAWNDALE AVE, 60623",ES,"PK, K, 1, 2",Traditional,-87.71719032,41.83879052,57,32,21569,234,28
"{'type': 'Point', 'coordinates': [-87.61661794406353, 41.81435828347581]}",610276,MOLLISON,"4415 S DR MARTIN L KING JR DR, 60653",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.61661794,41.81435828,36,4,4301,161,9
"{'type': 'Point', 'coordinates': [-87.69655603217373, 41.97575433056619]}",609817,BUDLONG,"2701 W FOSTER AVE, 60625",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.69655603,41.97575433,20,6,21849,28,24
"{'type': 'Point', 'coordinates': [-87.68575620384063, 41.905293853976055]}",610313,DE DIEGO,"1313 N CLAREMONT AVE, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.6857562,41.90529385,4,25,21560,516,41
"{'type': 'Point', 'coordinates': [-87.55180355199914, 41.753114901720906]}",610573,CAMELOT - SAFE HS,"7530 S SOUTH SHORE DR, 60603",HS,"9, 10, 11, 12",Options,-87.55180355,41.7531149,24,39,22538,421,37
"{'type': 'Point', 'coordinates': [-87.67682117256561, 41.711445071270646]}",610195,SUTHERLAND,"10015 S LEAVITT ST, 60643",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.67682117,41.71144507,13,71,22212,629,42
"{'type': 'Point', 'coordinates': [-87.69245662922022, 41.828867907327165]}",609829,BURROUGHS,"3542 S WASHTENAW AVE, 60632",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.69245663,41.82886791,56,55,22248,638,1
"{'type': 'Point', 'coordinates': [-87.66737776498866, 41.80351471627292]}",610386,PEACE AND EDUCATION HS,"4946 S PAULINA ST, 60609",HS,"10, 11, 12",Options,-87.66737776,41.80351472,37,59,14924,740,4
"{'type': 'Point', 'coordinates': [-87.54427997625557, 41.7333242385259]}",610200,THORP J,"8914 S BUFFALO AVE, 60617",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.54427998,41.73332424,25,42,21202,175,47
"{'type': 'Point', 'coordinates': [-87.60943096742845, 41.688819352967464]}",610139,PULLMAN,"11311 S FORRESTVILLE AVE, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.60943097,41.68881935,19,47,21861,601,43
"{'type': 'Point', 'coordinates': [-87.779482599979, 41.78996463452838]}",610026,KINZIE,"5625 S MOBILE AVE, 60638",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.7794826,41.78996463,7,53,22268,590,15
"{'type': 'Point', 'coordinates': [-87.6224527519029, 41.78982790525837]}",609844,CARTER,"5740 S MICHIGAN AVE, 60637",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8",Traditional,-87.62245275,41.78982791,60,7,22260,403,4
"{'type': 'Point', 'coordinates': [-87.65372653786375, 41.691969314449935]}",400147,CAMELOT - EXCEL HS,"1257 W 111TH ST, 60643",HS,"9, 10, 11, 12",Options,-87.65372654,41.69196931,13,74,22212,663,22
