table_name, num_of_neighbors
ipu4-2q9a.csv,4223
9jgj-bmct.csv,4221
b22r-9izv.csv,4207
ikqj-pyhc.csv,4206
8iee-pzu6.csv,4198
qiyv-ty5u.csv,4197
by8q-dp62.csv,4191
frre-6z6q.csv,4189
s6qk-qkvb.csv,4175
g76y-dcqj.csv,4174
2bef-phhy.csv,4170
c3kh-heyp.csv,4148
43je-8syt.csv,4146
7c8x-xds8.csv,4141
edx9-hxi8.csv,4114
4ynn-w9fk.csv,4107
w5ew-m3sm.csv,4106
2etw-ycbc.csv,4093
p7t3-5i9s.csv,4078
752y-qk8b.csv,4070
tm6d-hbzd.csv,4066
xx2p-4jnq.csv,4063
urzf-q2g5.csv,4061
adw8-wvxb.csv,4044
ghgh-2vas.csv,4041
ymyu-3dbp.csv,4037
9mjx-v8ip.csv,4037
bnx9-e6tj.csv,4033
fju2-rdad.csv,4028
2jvr-j6ne.csv,4023
7a57-qgkz.csv,4019
867j-5pgi.csv,4008
8xub-9477.csv,4006
mhpm-4ekb.csv,3992
3279-pp7v.csv,3985
kwmq-dbub.csv,3983
aiww-p3af.csv,3980
ec4f-sy8r.csv,3958
3cyv-4ghv.csv,3952
2vha-97jm.csv,3950
kiv2-tbus.csv,3945
9n9z-hh9p.csv,3929
usep-8jbt.csv,3922
iwdd-99mu.csv,3922
k3qa-jvkc.csv,3899
wr2n-ag8h.csv,3896
sqcr-6mww.csv,3896
e7es-jx5j.csv,3893
8532-9v5k.csv,3888
2bmr-jdsv.csv,3881
exsg-kpya.csv,3879
faiq-9dfq.csv,3875
vxah-4hdw.csv,3870
a5td-mswe.csv,3865
xubg-57si.csv,3840
i3a3-qxkf.csv,3830
64pa-8bza.csv,3827
3wfy-sn5g.csv,3826
vhah-kvpj.csv,3815
pkhy-wwga.csv,3812
kybr-br4u.csv,3802
56u5-n9sa.csv,3799
y3hw-z6bm.csv,3797
dggd-3jfu.csv,3796
3spy-rjpw.csv,3795
bzs3-dh33.csv,3793
qxzj-vkn2.csv,3792
scjx-j6np.csv,3786
xirx-msjc.csv,3776
ubdi-jgw2.csv,3776
785g-7qf7.csv,3776
4kpn-sezh.csv,3767
d3ge-anaz.csv,3766
8ufi-zgz6.csv,3756
6kks-jijx.csv,3736
hg3c-2jsy.csv,3726
fuhs-xmg2.csv,3720
mpbx-6c9k.csv,3713
gyjk-fbss.csv,3706
